disease	url	doi	year	dt	variable	estimate	sentence
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032334v1	10.1101/2020.03.06.20032334	2020	2020-06-03	asymptomatic		Rothe, C. et a/. Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032334v1	10.1101/2020.03.06.20032334	2020	2020-06-03	asymptomatic		Presumed Asymptomatic Carrier Transmission of COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.03.15.20036707v2	10.1101/2020.03.15.20036707	2020	2020-03-15	asymptomatic		Presumed Asymptomatic Carrier Transmission of COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.03.15.20036707v2	10.1101/2020.03.15.20036707	2020	2020-03-15	asymptomatic		Viral Shedding and Transmission Potential of Asymptomatic and Paucisymptomatic Influenza Virus Infections in the Community.
covid	https://www.sciencedirect.com/science/article/pii/S2352771420300136	10.1016/j.onehlt.2020.100124	2020		asymptomatic		Asymptomatic to mild SARS
covid	https://www.sciencedirect.com/science/article/pii/S2352771420300136	10.1016/j.onehlt.2020.100124	2020		asymptomatic		SARS-CoV-2 can cause asymptomatic to fatal re- spiratory diseases [36].
covid	https://www.medrxiv.org/content/10.1101/2020.02.29.20027698v2	10.1101/2020.02.29.20027698	2020	2020-02-29	asymptomatic		To test the reliability of pathogen detection method, we randomly selected 16 healthy blood donors and 14 asymptomatic individuals who came to the hospitals in Qingdao for health counselling as the group for quality control (healthy control group).
covid	https://www.medrxiv.org/content/10.1101/2020.03.04.20026005v1	10.1101/2020.03.04.20026005	2020	2020-04-03	asymptomatic		The asymptomatic transmission exists and may bring more risk to the spread of COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.03.07.20032524v2	10.1101/2020.03.07.20032524	2020	2020-07-03	asymptomatic		Bai, Y., et al., Presumed Asymptomatic Carrier Transmission of COVID-19.
covid	https://www.sciencedirect.com/science/article/pii/S1286457920300344	10.1016/j.micinf.2020.02.006	2020		asymptomatic		There may have been past introductions and circulations of mild strains similar coronaviruses that were asymptomatic or mistaken for a regular common cold virus.
covid	https://www.medrxiv.org/content/10.1101/2020.02.23.20026690v1	10.1101/2020.02.23.20026690	2020	2020-02-23	asymptomatic		The clinical symptoms of COVID-19 varied from asymptomatic to ARDS, which has been observed in SARS-CoV, MERS-CoV and influenza infections [7].
covid	https://www.sciencedirect.com/science/article/pii/S0140673620304207	10.1016/S0140-6736(20)30420-7	2020		asymptomatic		® Every day we find out something new, through pursuing avenues of research such as viral shedding studies to see whether the new coronavirus is primarily transmitted by people with asymptomatic or more severe COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		question that scientists are racing to learn is whether an asymptomatic COVID-19 case during the incubation period can infect others.
covid	https://www.medrxiv.org/content/10.1101/2020.02.11.20022186v5	10.1101/2020.02.11.20022186	2020	2020-11-02	asymptomatic		This highly likely gross under-detection and underreporting of mild or asymptomatic cases inevitably throws severe disease courses calculations and death rates out of context, distorting epidemiologic reality.
covid	https://www.medrxiv.org/content/10.1101/2020.02.11.20022186v5	10.1101/2020.02.11.20022186	2020	2020-11-02	asymptomatic		The number of asymptomatic and mild cases with subclinical manifestations that probably did not present to hospitals for treatment may be substantial; these cases, which possibly represent the bulk of the COVID-19 infections, remain unrecognized, especially during the influenza season [22].
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-08-03	reproduction+number	3.6	65 66 67 Using Method 1, we estimated a reproduction number of 3.6 (95% CI, 3.2, 4.2) for the COVID- 19 epidemic in Iran.
covid	https://www.medrxiv.org/content/10.1101/2020.03.05.20031849v1	10.1101/2020.03.05.20031849	2020	2020-05-03	asymptomatic		; RP: 279 Reservoir-People; SEIARW: susceptible - exposed — symptomatic — asymptomatic — recovered 280 reservoir; SAR: secondary attack rate; P®: coefficient of determination.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033944v2	10.1101/2020.03.10.20033944	2020	2020-10-03	asymptomatic		Presumed Asymptomatic Carrier Transmission of COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		Individuals of all ages were involved in the COVID-19 asymptomatic infection with age ranging from 5 to 95 years old (median: 32.5 years)
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		The demographic characteristics of the 24 asymptomatic cases are shown in Table S1.
covid	https://www.sciencedirect.com/science/article/pii/S2213716520300503	10.1016/j.jgar.2020.02.021	2020		asymptomatic		Transmission of 2019-nCoV infection from an asymptomatic contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031377v1	10.1101/2020.03.06.20031377	2020	2020-06-03	asymptomatic		All these patients were asymptomatic and chest CT scanning
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025601v2	10.1101/2020.02.20.20025601	2020	2020-02-20	asymptomatic		Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.
covid	https://onlinelibrary.wiley.com/doi/abs/10.1002/uog.22013	10.1002/uog.22013			asymptomatic		g. Pregnant patients with known TOCC risk factors and those with mild asymptomatic COVID-19 infection should delay antenatal visit and routine ultrasound assessment by 14 days.
covid	https://www.medrxiv.org/content/10.1101/2020.02.25.20027672v2	10.1101/2020.02.25.20027672	2020	2020-02-25	asymptomatic		Transmission of 2019-nCoV infection from an asymptomatic contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v2	10.1101/2020.03.03.20028423	2020	2020-03-03	asymptomatic		This is consistent with a reasonably high rate asymptomatic carriage, but less than suggested by some modeling studies"®, though PCR has imperfect sensitivity®°.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v2	10.1101/2020.03.03.20028423	2020	2020-03-03	asymptomatic		Further, in this group, 20% were asymptomatic at the time of first clinical assessment and nearly 30% did not have fever.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027649v2	10.1101/2020.02.24.20027649	2020	2020-02-24	asymptomatic		There is a possibility that a fraction of asymptomatic cases develop symptom.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027649v2	10.1101/2020.02.24.20027649	2020	2020-02-24	asymptomatic		As of February 5, 2020 ‘Proportion of asymptomatic cases among all the cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027649v2	10.1101/2020.02.24.20027649	2020	2020-02-24	asymptomatic		Age Symptomatic Asymptomatic Total Crude asymptomatic ratio?
covid	https://onlinelibrary.wiley.com/doi/abs/10.1111/bjd.19011	10.1111/bjd.19011			asymptomatic		Since the outbreak, the Chinese government has implemented a series of strict prevention and control measures, however, it is still possible to miss infected patients in the asymptomatic incubation period.
covid	https://www.medrxiv.org/content/10.1101/2020.03.13.20035253v1	10.1101/2020.03.13.20035253	2020	2020-03-13	asymptomatic		Based on the SEIR model and considering asymptomatic COVID-19 carriers, deaths and the mobility of individuals, we constructed a model that included S, A, I, R, and D states (SAIRD).
covid	https://onlinelibrary.wiley.com/doi/abs/10.1002/uog.22013	10.1002/uog.22013			asymptomatic		g. Pregnant patients with known TOCC risk factors and those with mild asymptomatic COVID-19 infection should delay antenatal visit and routine ultrasound assessment by 14 days.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20030445v2	10.1101/2020.03.03.20030445	2020	2020-03-03	asymptomatic		Shao P, Shan Y. Beware of asymptomatic transmission
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		The transmission evidence from an asymptomatic COVID-19 carrier to his cohabited family members, and his wife admitted to the ICU after being infected.
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025601v2	10.1101/2020.02.20.20025601	2020	2020-02-20	asymptomatic		An imaging study of 81 people found that abnormal chest imaging could occur even in asymptomatic patients and progressed rapidly from focal unilateral to diffuse bilateral within 1-3 weeks", Since the early imaging changes of COVID-19 were not obvious, high resolution chest examination should be performed as soon as possible for suspected patients to clarify.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033738v1	10.1101/2020.03.10.20033738	2020	2020-10-03	asymptomatic		Transmission of 2019-nCovV Infection from an Asymptomatic Contact in Germany.
covid	https://www.sciencedirect.com/science/article/pii/S1744388120302784	10.1016/j.ctcp.2020.101132	2020		asymptomatic		‘Asymptomatic 2 (8.00%) 3 (11.54%) 1.000 Lung CT lesion range, n (%)
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v2	10.1101/2020.03.03.20028423	2020	2020-03-03	asymptomatic		However, uncertainty in the number of asymptomatic cases missed by surveillance and their ability to transmit must temper any hopes of stopping the COVID-19 epidemic by this means.
covid	https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1	10.1101/2020.03.15.20035360	2020	2020-03-15	asymptomatic		Given the ubiquity of comorbidities in the elderly population, and their increased susceptibility to severe COVID-19 infection (18), knowledge on the differing prevalence and risk of various conditions may help to focus and tailor public health efforts such as the screening of asymptomatic individuals, risk communication, contact tracing, self-isolation and social distancing.
covid	https://www.medrxiv.org/content/10.1101/2020.02.28.20028068v1	10.1101/2020.02.28.20028068	2020	2020-02-28	asymptomatic		Asymptomatic carriers might transmit SARS-CoV-2.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		There is a possibility that a fraction of asymptomatic cases develop symptom.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		Proportion of asymptomatic cases among all the cases.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		® Total Crude asymptomatic ratio” Persons aboard* 0-9 0 1 1 100% (95%CI: 2.5%, 100%) 16 10- 1 1 2 50.0% (95%CI: 1.3%, 98.7%)
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		Age group Symptomatic cases Asymptomatic cases
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		Compared with the relative small number of asymptomatic
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		the transmission by an asymptomatic carrier of SARS-CoV-2 in a familial cluster five COVID-19 patients.''
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032177v1	10.1101/2020.03.06.20032177	2020	2020-06-03	asymptomatic		Due to the barriers bought from disease incubation period, asymptomatic infectious, diagnosis testing capacity, overloaded medical stuff and complicated reporting processes, there can be a delay or missed reporting from real evolving situation to confirmation of cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.29.20027698v2	10.1101/2020.02.29.20027698	2020	2020-02-29	asymptomatic		Only 4 people (13.33%) of this group had specific- IgM antibody detected in their serum, suggesting asymptomatic infection with single virus (IFV-B).
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20031658v1	10.1101/2020.03.08.20031658	2020	2020-08-03	asymptomatic		50.7% patients were male and 49.3% were female; 1.5% patients were asymptomatic cases, 63.8% (44/69) patients were mild cases, and 36.2%
covid	https://www.tandfonline.com/doi/full/10.1080/08998280.2020.1731272	10.1080/08998280.2020.1731272			asymptomatic		Likewise, the role asymptomatic or mildly symptomatic infections, particularly in children, in disease transmission is unknown, as is the potential of “superspreaders,” as was seen in the SARS-CoV epidemic.
covid	https://www.medrxiv.org/content/10.1101/2020.03.13.20035238v1	10.1101/2020.03.13.20035238	2020	2020-03-13	reproduction+number	2.2	(2020) estimate a basic reproduction number of 2.2.
covid	https://www.medrxiv.org/content/10.1101/2020.02.29.20029421v1	10.1101/2020.02.29.20029421	2020	2020-02-29	asymptomatic		the median incubation time is 3 days, which can be as long as 24 days [7]; and (v) asymptomatic person carrying SARS
covid	https://www.medrxiv.org/content/10.1101/2020.02.29.20029421v1	10.1101/2020.02.29.20029421	2020	2020-02-29	incubation+time	3	the median incubation time is 3 days, which can be as long as 24 days [7]; and (v) asymptomatic person carrying SARS
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-10-03	asymptomatic		As asymptomatic infections would lead to an antibody response, serology could be a valuable tool to assess the importance of asymptomatic transmission.    
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-10-03	asymptomatic		However, when infected subjects who remain completely asymptomatic could be infectious to susceptible contacts, the appearance of such contacts, when symptomatic, could not be linked to their immediate ancestors.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		First, the proportion of infections that are asymptomatic (see [2]) is critical to attempts to estimate the likely burden of severe outcomes (including mortality [3]) when the virus spreads through a population.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		There is significant ongoing interest in asymptomatic infections in COVID-19 for two major reasons.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Asymptomatic individuals are hard to trace, unlikely to self-isolate, and are likely to retain normal social and travel patterns.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Second, understanding the possible role of transmission by asymptomatic individuals is crucial to planning surveillance and control efforts [1, 4].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		However, infected individuals who are asymptomatic yet infectious can be critical factor in the spread of some pathogens [1].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		If asymptomatic cases are important for transmission, they also have the potential to affect estimates of key parameters of disease spread such as the basic reproduction number Ro (i.e., the expected number of secondary cases generated by an average primary case in a fully susceptible population [5]).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Thus, we investigate the rela- tionship between individual-level features of asymptomatic cases (e.g., the probability that an infection is asymptomatic, asymptomatic case duration, transmission by asymptomatic individuals) to dynamics at the population scale.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		Finally, the crude asymp- tomatic ratio, a simple proportion of asymptomatic infections among all the infections was estimated as follows: 66.7% (95% Confidence Interval (95%CI): 9.4%, 99.1%) for aged O—19 years, 30.8% (95%CI: 22.6%, 40.0%) for aged 20—58 years and 52.8% (95%CI: 47.9%, 57.5%) for aged 60 years and older (95%CI is based on binomial distribution).
covid	https://www.medrxiv.org/content/10.1101/2020.02.13.20022806v2	10.1101/2020.02.13.20022806	2020	2020-02-13	asymptomatic		The clinical presentation of the illness caused by SARS-CoV-2, called COVID-19, appears to range from mild or asymptomatic to severe and fatal respiratory ill- ness (WHO Emergency Committee, 2020a), but the ex- act spectrum of disease presentation is still unclear.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033670v1	10.1101/2020.03.10.20033670	2020	2020-10-03	asymptomatic		Rothe, C., et al., Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		Our study initially demonstrated asymptomatic transmission of COVID-19 in the incubation period, especially in the last three days of incubation period, by estimating the incubation period with the use of accurate exposure history of confirmed cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027649v2	10.1101/2020.02.24.20027649	2020	2020-02-24	asymptomatic		As for the crude asymptomatic ratios by age groups, they show significant differences across age groups.
covid	https://www.sciencedirect.com/science/article/pii/S0140673620305201	10.1016/S0140-6736(20)30520-1	2020		asymptomatic		Presumed asymptomatic cartier transmission of COVID-19.
covid	https://www.sciencedirect.com/science/article/pii/S014067362030547X	10.1016/S0140-6736(20)30547-X	2020		asymptomatic		Presumed asymptomatic cartier transmission of COVID-19.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		As for the crude asymptomatic ratios by age groups, they show significant differences across age groups.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032417v1	10.1101/2020.03.06.20032417	2020	2020-06-03	asymptomatic		Hence, we conducted a cross-sectional and forward follow-up study by assuming to catch those asymptomatic individuals at their departure time and followed them until their symptoms developed.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		If asymptomatic people who are in the incubation period have the potential to spread the virus, the current quarantine measures are inadequate to contain the spread of COVID-19, especially for those individuals and their family members who were isolated together at home.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		In the Chinese New coronavirus pneumonia prevention and control program (4th ed.), the close contacts who are requried to put in quanrantine are defined as "the individulas who have a history of living together, staying in the same room, or riding in the same vehicles with the suspected cases, clinical diagnosis cases (only in Hubei Province), confirmed cases, and asymptomatic infected persons after they are tested virus positive".'?
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		Our results indicated that the current quarantine measures have loopholes, which may lead to some asymptomatic cases during the incubation period slipping through the net.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027052v1	10.1101/2020.02.24.20027052	2020	2020-02-24	asymptomatic		Goeller, M., et al., Epicardial adipose tissue density and volume are related to subclinical atherosclerosis, inflammation and major adverse cardiac events in asymptomatic subjects.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		oO 02       Intrinsic proportion of asymptomatic transmission, 2 10 20 Relative asymptomatic generation-interval dispersion, Relative asymptomatic generation interval dispersion, alts
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	reproduction+number	10	        B. Basic reproduction number 10
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		generation intervals of asymptomatic cases
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		dispersion of asymptomatic cases.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Increasing the speed of asymptomatic
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		eration interval of asymptomatic cases.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		10 20 5 05 10 Relative mean asymptomatic generation interval, Gu/Gs Relative mean asymptomatic generation interval, Ga/Gs  
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		A. Realized proportion of asymptomatic transmission B. Basic reproduction number         Ro 0.0: 0
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		First, the proportion of infections that are asymptomatic (see [2]) is critical to attempts to estimate the likely burden of severe outcomes (including mortality [3]) when the virus spreads through a population.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		There is significant ongoing interest in asymptomatic infections in COVID-19 for two major reasons.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Asymptomatic individuals are hard to trace, unlikely to self-isolate, and are likely to retain normal social and travel patterns.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Second, understanding the possible role of transmission by asymptomatic individuals is crucial to planning surveillance and control efforts [1, 4].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		However, infected individuals who are asymptomatic yet infectious can be critical factor in the spread of some pathogens [1].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		If asymptomatic cases are important for transmission, they also have the potential to affect estimates of key parameters of disease spread such as the basic reproduction number Ro (i.e., the expected number of secondary cases generated by an average primary case in a fully susceptible population [5]).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Thus, we investigate the rela- tionship between individual-level features of asymptomatic cases (e.g., the probability that an infection is asymptomatic, asymptomatic case duration, transmission by asymptomatic individuals) to dynamics at the population scale.
covid	https://onlinelibrary.wiley.com/doi/abs/10.1002/uog.22013	10.1002/uog.22013			asymptomatic		g. Pregnant patients with known TOCC risk factors and those with mild asymptomatic COVID-19 infection should delay antenatal visit and routine ultrasound assessment by 14 days.
covid	https://www.sciencedirect.com/science/article/pii/S1201971213002257	10.1016/j.ijid.2013.07.001	2013		asymptomatic		The high mortality rate associated with MERS-CoV infection increasingly appears to be due to the under-diagnosis of mild and asymptomatic cases as a result of the restrictive case definition put forward by WHO."
covid	https://www.sciencedirect.com/science/article/pii/S1201971213002257	10.1016/j.ijid.2013.07.001	2013		asymptomatic		Such asymptomatic carriage may explain some of the transmission that has taken place in hospital and in community settings.
covid	https://www.sciencedirect.com/science/article/pii/S1201971213002257	10.1016/j.ijid.2013.07.001	2013		asymptomatic		Fourteen confirmed cases of asymptomatic MERS-CoV infection have so far been reported to the WHO, including 4 HCWs.”?
covid	https://www.sciencedirect.com/science/article/pii/S0196655315004617	10.1016/j.ajic.2015.04.195	2015		asymptomatic		PVL is a potent cytotoxin produced by S aureus that causes necrotizing pneu- monia with a high mortality rate,'° Many hospitals have already implemented decolonization procedures for patients colonized with S aureus and MRSA, but future studies could support the decolonization of asymptomatic HCPs.
covid	https://www.sciencedirect.com/science/article/pii/S0196655315004617	10.1016/j.ajic.2015.04.195	2015		asymptomatic		Taiwan and found that 25 (11.5%) were colonized with SARS-CoV.° The nosocomial spread of SARS-CoV in large hospitals was a major epidemic feature during early stages of the outbreak, but this problem was resolved after hospitals isolated all symptomatic pa- tients and asymptomatic HCPs detected with SARS-CoV.’ All 11 detections for HCoV at Huntsville Hospital also came from frontline asymptomatic HCPs, predominantly nurses.
covid	http://www.sciencedirect.com/science/article/pii/S2387020616300870	10.1016/j.medcle.2015.09.002	2015		asymptomatic		From the epidemiological point of view it has been postu- lated that MERS-CoV infection is very similar to that observed in SARS-CoV; that is, a very prevalent disease among the general population (many asymptomatic or mild cases) and few serious cases, only elderly or immunosuppressed patients.°-°
covid	http://www.sciencedirect.com/science/article/pii/S2387020616300870	10.1016/j.medcle.2015.09.002	2015		asymptomatic		Most likely, the number of people infected with MERS-CoV is much higher in accordance with seropreva- lence data and asymptomatic infection (from 1.1 to 3.6% of healthy population),°” the epidemic being much more widespread than as initially expected (endemicity).
covid	http://www.sciencedirect.com/science/article/pii/S2387020616300870	10.1016/j.medcle.2015.09.002	2015		asymptomatic		Most asymptomatic cases are youngsters, children and healthy women being health caregivers (27%).’2°?'Therefore, it seems clear that the cases reported so far only include severe and complicated cases requir-
covid	https://www.sciencedirect.com/science/article/pii/S0165242707001560	10.1016/S0165-2427(07)00156-0	2007		asymptomatic		e eee eee eee Anti-Leishmania humoral and cellular immune responses in naturally infected symptomatic and asymptomatic dogs L. Cardoso,
covid	https://www.sciencedirect.com/science/article/pii/S0166354216304016	10.1016/j.antiviral.2016.11.006	2017		asymptomatic		Seven previously unconfirmed individuals tested positive for MERS-CoV-specific antibodies 13 months after a MERS outbreak in a Jordanian hospital, indicating that the antibodies persisted for at least a year in these asymptomatic cases (Al-Abdallat et al., 2014).
flu	https://www.sciencedirect.com/science/article/pii/S1876034116301022	10.1016/j.jiph.2016.06.013	2017		asymptomatic		Conversely, some patients presented with atypical symptoms, such as diarrhea, nausea, and flu-like symptoms, while some patients remained asymptomatic [10].
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		Strong and effective countermeasures should be implemented to prevent or mitigate asymptomatic transmission during the incubation period in populations at high risk.
flu	https://www.sciencedirect.com/science/article/pii/B9780124158948000385	10.1016/B978-0-12-415894-8.00038-5	2013		asymptomatic		There are four serotypes of Dengue virus, numbered 1H, which are capable of causing a wide spectrum disease that ranges from asymptomatic to severe with the development of DHF.”
covid	https://www.sciencedirect.com/science/article/pii/S0166354216304016	10.1016/j.antiviral.2016.11.006	2017		asymptomatic		Seven previously unconfirmed individuals tested positive for MERS-CoV-specific antibodies 13 months after a MERS outbreak in a Jordanian hospital, indicating that the antibodies persisted for at least a year in these asymptomatic cases (Al-Abdallat et al., 2014).
covid	https://www.sciencedirect.com/science/article/pii/S1744388120302784	10.1016/j.ctcp.2020.101132	2020		asymptomatic		‘Asymptomatic 2 (8.00%) 3 (11.54%) 1.000 Lung CT lesion range, n (%)
covid	https://www.sciencedirect.com/science/article/pii/S0012369215315166	10.1378/chest.129.1.12	2006		asymptomatic		A lower amount of viral replication may result in low-level viral shedding with a negative cell culture and asymptomatic or mildly symptomatic infection with or without seroconversion.!!
flu	https://www.sciencedirect.com/science/article/pii/B9780323045797000058	10.1016/B978-0-323-04579-7.00005-8	2010		asymptomatic		A case fatality rate of 63% for avian influenza (from the number of cases and fatalities reported by WHO above) will be higher than the CER during a pandemic as the number of cases reported so far will be an underestimate due to the non-inclusion of many nonfatal, mild and asymptomatic cases which will not be entered on the WHO reporting system.
flu	https://www.sciencedirect.com/science/article/pii/B9781455733835000178	10.1016/B978-1-4557-3383-5.00017-8	2016		asymptomatic		Asymptomatic carriage of Pneumocystis jiroveci in subjects undergoing bronchoscopy: A pro- spective study.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v2	10.1101/2020.03.03.20028423	2020	2020-03-03	asymptomatic		However, uncertainty in the number of asymptomatic cases missed by surveillance and their ability to transmit must temper any hopes of stopping the COVID-19 epidemic by this means.
covid	https://www.sciencedirect.com/science/article/pii/S1526054207000334	10.1016/j.prrv.2007.04.003	2007		asymptomatic		A community-wide serological screening of 12,000 people in Hong Kong found an extremely low rate (0.008%) of asymptomatic SARS infection.'?
flu	https://www.sciencedirect.com/science/article/pii/S1526054207000334	10.1016/j.prrv.2007.04.003	2007		asymptomatic		A community-wide serological screening of 12,000 people in Hong Kong found an extremely low rate (0.008%) of asymptomatic SARS infection.'?
flu	https://www.sciencedirect.com/science/article/pii/S0213005X16300854	10.1016/j.eimc.2016.04.004	2016		asymptomatic		However, as NAATs can detect asymptomatic shedding or very low viral loads in the respi- ratory tract, the clinical significance of a NAAT-positive result in these cases is controversial.
flu	https://www.sciencedirect.com/science/article/pii/S1937644818300844	10.1016/bs.ircmb.2018.07.006	2019		asymptomatic		Like VEEV, though the majority of human infections with EEEV are asymptomatic, CNS involvement results in severe neurological signs, lesions, and sequelae, with an estimated associated human mortality rate of 75%, and with its neurological manifestations including facial edema, paresis, paralysis, respira- tory impairment, altered mental state, and seizures in children, many of these symptoms persisting long-term in surviving patients.
